Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-20,06:35:00,86.7,86.8,86.7,86.75,84000,0
2017-02-20,06:40:00,86.75,86.75,86.7,86.7,75000,0
2017-02-20,06:45:00,86.7,86.8,86.65,86.8,211000,0
2017-02-20,06:50:00,86.8,86.85,86.8,86.8,50500,0
2017-02-20,06:55:00,86.8,86.9,86.8,86.9,159000,0
2017-02-20,07:00:00,86.9,87.15,86.85,86.9,295000,0
2017-02-20,07:05:00,86.9,87.05,86.9,87.05,160500,0
2017-02-20,07:10:00,87.05,87.05,86.95,86.95,81500,0
2017-02-20,07:15:00,86.95,87.05,86.95,87.05,158500,0
2017-02-20,07:20:00,87.05,87.1,87,87.05,82500,0
2017-02-20,07:25:00,87.05,87.05,86.95,86.95,137000,0
2017-02-20,07:30:00,86.95,87,86.85,86.95,339500,0
2017-02-20,07:35:00,86.95,87,86.9,87,107500,0
2017-02-20,07:40:00,87,87,86.95,86.95,69000,0
2017-02-20,07:45:00,86.95,87.1,86.95,87.05,197500,0
2017-02-20,07:50:00,87.05,87.05,86.95,87.05,145500,0
2017-02-20,07:55:00,87.05,87.15,87.05,87.1,64512,0
2017-02-20,08:00:00,87.1,87.15,87,87.1,226000,0
2017-02-20,08:05:00,87.1,87.15,87,87.1,117000,0
2017-02-20,08:10:00,87.1,87.25,87.1,87.1,226000,0
2017-02-20,08:15:00,87.1,87.2,87.1,87.2,165500,0
2017-02-20,08:20:00,87.2,87.25,87.15,87.2,227000,0
2017-02-20,08:25:00,87.2,87.2,87.15,87.2,222300,0
2017-02-20,08:30:00,87.2,87.2,87.1,87.15,354500,0
2017-02-20,08:35:00,87.15,87.2,87.05,87.1,252000,0
2017-02-20,08:40:00,87.1,87.15,87.05,87.05,217232,0
2017-02-20,08:45:00,87.05,87.25,87,87.15,664500,0
2017-02-20,08:50:00,87.15,87.15,87.1,87.15,121732,0
2017-02-20,08:55:00,87.15,87.15,87,87,905500,0
2017-02-20,09:00:00,87,87.15,86.9,87.15,1576000,0
2017-02-21,02:35:00,87.3,87.5,87.3,87.45,262000,0
2017-02-21,02:40:00,87.45,87.75,87.4,87.7,278500,0
2017-02-21,02:45:00,87.7,87.8,87.55,87.75,314000,0
2017-02-21,02:50:00,87.75,87.8,87.65,87.65,244500,0
2017-02-21,02:55:00,87.65,87.65,87.6,87.6,91000,0
2017-02-21,03:00:00,87.6,87.65,87.45,87.5,403500,0
2017-02-21,03:05:00,87.5,87.5,87.3,87.35,185374,0
2017-02-21,03:10:00,87.35,87.5,87.35,87.45,185311,0
2017-02-21,03:15:00,87.45,87.55,87.4,87.45,155830,0
2017-02-21,03:20:00,87.45,87.45,87.25,87.35,163500,0
2017-02-21,03:25:00,87.35,87.45,87.35,87.4,71000,0
2017-02-21,03:30:00,87.4,87.45,87.3,87.4,182535,0
2017-02-21,03:35:00,87.4,87.5,87.4,87.5,53500,0
2017-02-21,03:40:00,87.5,87.5,87.4,87.45,91500,0
2017-02-21,03:45:00,87.45,87.45,87.4,87.45,20500,0
2017-02-21,03:50:00,87.45,87.55,87.4,87.55,131500,0
2017-02-21,03:55:00,87.55,87.6,87.4,87.45,106716,0
2017-02-21,04:00:00,87.45,87.55,87.45,87.45,97000,0
2017-02-21,04:05:00,87.45,87.5,87.4,87.5,64000,0
2017-02-21,04:10:00,87.5,87.5,87.45,87.5,38000,0
2017-02-21,04:15:00,87.5,87.5,87.45,87.5,74500,0
2017-02-21,04:20:00,87.5,87.6,87.45,87.55,154500,0
2017-02-21,04:25:00,87.55,87.6,87.45,87.5,178500,0
2017-02-21,04:30:00,87.5,87.55,87.5,87.55,67000,0
2017-02-21,04:35:00,87.55,87.6,87.5,87.55,172000,0
2017-02-21,04:40:00,87.55,87.55,87.45,87.5,83500,0
2017-02-21,04:45:00,87.5,87.55,87.45,87.5,57000,0
2017-02-21,04:50:00,87.5,87.55,87.5,87.55,80500,0
2017-02-21,04:55:00,87.55,87.55,87.5,87.55,77000,0
2017-02-21,05:00:00,87.55,87.6,87.5,87.6,108000,0
2017-02-21,06:05:00,87.6,87.7,87.5,87.65,443500,0
2017-02-21,06:10:00,87.65,87.75,87.65,87.65,238000,0
2017-02-21,06:15:00,87.65,87.7,87.6,87.65,206500,0
2017-02-21,06:20:00,87.65,87.7,87.6,87.7,135500,0
2017-02-21,06:25:00,87.7,87.7,87.55,87.55,293500,0
2017-02-21,06:30:00,87.55,87.55,87.4,87.4,261000,0
2017-02-21,06:35:00,87.4,87.55,87.4,87.5,202000,0
2017-02-21,06:40:00,87.5,87.65,87.5,87.55,244500,0
2017-02-21,06:45:00,87.55,87.65,87.55,87.6,167500,0
2017-02-21,06:50:00,87.6,87.6,87.55,87.55,23000,0
2017-02-21,06:55:00,87.55,87.55,87.5,87.5,118500,0
2017-02-21,07:00:00,87.5,87.55,87.45,87.55,68400,0
2017-02-21,07:05:00,87.55,87.6,87.25,87.45,566500,0
2017-02-21,07:10:00,87.45,87.45,87.4,87.4,57500,0
2017-02-21,07:15:00,87.4,87.45,87.35,87.45,129500,0
2017-02-21,07:20:00,87.45,87.45,87.4,87.4,23000,0
2017-02-21,07:25:00,87.4,87.45,87.4,87.4,30500,0
2017-02-21,07:30:00,87.4,87.45,87.35,87.35,239500,0
2017-02-21,07:35:00,87.35,87.4,87.25,87.25,166000,0
2017-02-21,07:40:00,87.25,87.35,87.15,87.3,235500,0
2017-02-21,07:45:00,87.3,87.35,87.25,87.3,158000,0
2017-02-21,07:50:00,87.3,87.3,87.25,87.3,97000,0
2017-02-21,07:55:00,87.3,87.5,87.25,87.35,244500,0
2017-02-21,08:00:00,87.35,87.4,87.3,87.35,155500,0
2017-02-21,08:05:00,87.35,87.45,87.3,87.35,82000,0
2017-02-21,08:10:00,87.35,87.45,87.35,87.35,176000,0
2017-02-21,08:15:00,87.35,87.35,87.2,87.2,128700,0
2017-02-21,08:20:00,87.2,87.3,87.2,87.3,153400,0
2017-02-21,08:25:00,87.3,87.35,87.2,87.25,163000,0
2017-02-21,08:30:00,87.25,87.3,87.2,87.25,179000,0
2017-02-21,08:35:00,87.25,87.3,86.95,86.95,537000,0
2017-02-21,08:40:00,86.95,87,86.9,86.9,110000,0
2017-02-21,08:45:00,86.85,87,86.85,86.9,246500,0
2017-02-21,08:50:00,86.9,86.95,86.85,86.9,273160,0
2017-02-21,08:55:00,86.9,86.95,86.85,86.9,119500,0
2017-02-21,09:00:00,86.8,86.95,86.8,86.95,1381733,0
2017-02-22,02:35:00,87.8,87.9,86.75,86.95,652343,0
2017-02-22,02:40:00,86.95,86.95,86.6,86.7,659500,0
2017-02-22,02:45:00,86.65,86.8,86.65,86.75,203050,0
2017-02-22,02:50:00,86.75,86.95,86.65,86.75,468000,0
2017-02-22,02:55:00,86.75,86.8,86.7,86.7,112500,0
2017-02-22,03:00:00,86.7,86.75,86.7,86.75,81500,0
2017-02-22,03:05:00,86.6,86.85,86.6,86.75,411500,0
2017-02-22,03:10:00,86.75,86.8,86.7,86.7,219000,0
2017-02-22,03:15:00,86.65,86.85,86.65,86.75,789000,0
2017-02-22,03:20:00,86.75,86.8,86.7,86.7,138975,0
2017-02-22,03:25:00,86.65,86.7,86.65,86.7,246500,0
2017-02-22,03:30:00,86.7,86.75,86.65,86.7,195500,0
2017-02-22,03:35:00,86.7,86.7,86.65,86.7,90000,0
2017-02-22,03:40:00,86.7,86.75,86.7,86.7,195000,0
2017-02-22,03:45:00,86.7,86.8,86.7,86.75,272500,0
2017-02-22,03:50:00,86.75,86.75,86.7,86.7,153000,0
2017-02-22,03:55:00,86.7,86.75,86.7,86.7,118000,0
2017-02-22,04:00:00,86.7,86.9,86.7,86.85,435000,0
2017-02-22,04:05:00,86.85,86.9,86.8,86.85,160500,0
2017-02-22,04:10:00,86.85,86.9,86.75,86.8,423500,0
2017-02-22,04:15:00,86.8,86.9,86.8,86.85,165000,0
2017-02-22,04:20:00,86.85,86.85,86.75,86.8,333000,0
2017-02-22,04:25:00,86.8,86.9,86.8,86.85,216254,0
2017-02-22,04:30:00,86.85,86.9,86.8,86.8,162000,0
2017-02-22,04:35:00,86.8,86.9,86.8,86.85,100000,0
2017-02-22,04:40:00,86.85,86.9,86.75,86.8,387000,0
2017-02-22,04:45:00,86.8,86.95,86.8,86.85,149000,0
2017-02-22,04:50:00,86.85,86.95,86.85,86.85,98905,0
2017-02-22,04:55:00,86.85,86.95,86.85,86.9,112103,0
2017-02-22,05:00:00,86.9,86.95,86.85,86.9,239000,0
2017-02-22,06:05:00,86.9,87.05,86.9,87.05,182500,0
2017-02-22,06:10:00,87.05,87.25,87.05,87.2,379534,0
2017-02-22,06:15:00,87.2,87.3,87.15,87.2,147500,0
2017-02-22,06:20:00,87.2,87.45,87.2,87.3,177000,0
2017-02-22,06:25:00,87.3,87.3,87.2,87.25,182500,0
2017-02-22,06:30:00,87.25,87.3,87.2,87.25,114000,0
2017-02-22,06:35:00,87.25,87.25,87.1,87.1,153500,0
2017-02-22,06:40:00,87.1,87.15,87,87.05,203500,0
2017-02-22,06:45:00,87.05,87.15,87.05,87.15,117076,0
2017-02-22,06:50:00,87.15,87.25,87.1,87.25,146494,0
2017-02-22,06:55:00,87.25,87.3,87.2,87.25,78500,0
2017-02-22,07:00:00,87.25,87.25,87.15,87.2,108500,0
2017-02-22,07:05:00,87.2,87.25,87.15,87.2,122500,0
2017-02-22,07:10:00,87.2,87.35,87.2,87.3,122500,0
2017-02-22,07:15:00,87.3,87.3,87.2,87.3,107500,0
2017-02-22,07:20:00,87.3,87.3,87.2,87.25,275500,0
2017-02-22,07:25:00,87.25,87.3,87.15,87.15,135000,0
2017-02-22,07:30:00,87.15,87.25,87.15,87.25,94000,0
2017-02-22,07:35:00,87.25,87.25,87.2,87.25,105500,0
2017-02-22,07:40:00,87.25,87.3,87.2,87.25,126000,0
2017-02-22,07:45:00,87.25,87.25,87.05,87.15,192500,0
2017-02-22,07:50:00,87.15,87.25,87.1,87.2,113000,0
2017-02-22,07:55:00,87.2,87.25,87.15,87.15,149230,0
2017-02-22,08:00:00,87.15,87.25,87.15,87.2,127500,0
2017-02-22,08:05:00,87.2,87.25,87.2,87.2,149000,0
