Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-02-22,10:05:00,192.1,192.25,191.5,192,182,0
2017-02-22,10:10:00,192.1,192.1,192,192,193,0
2017-02-22,10:15:00,192.6,193.55,192.6,193.5,342,0
2017-02-22,10:20:00,193.55,193.55,192,192,278,0
2017-02-22,10:25:00,193.5,193.5,192.25,192.25,53,0
2017-02-22,10:30:00,193.5,193.5,193.4,193.4,185,0
2017-02-22,10:35:00,193.05,193.5,193.05,193.5,137,0
2017-02-22,10:40:00,193.55,193.8,193.5,193.5,41,0
2017-02-22,10:45:00,193.05,193.5,193,193.5,69,0
2017-02-22,10:50:00,193.5,194,193.4,194,559,0
2017-02-22,10:55:00,194,194,193.6,194,188,0
2017-02-22,11:00:00,194,194.5,194,194.5,142,0
2017-02-22,11:05:00,194,194.5,194,194.5,163,0
2017-02-22,11:10:00,194,194.4,194,194,46,0
2017-02-22,11:15:00,193.6,194,193.5,194,137,0
2017-02-22,11:20:00,194,194.5,194,194,82,0
2017-02-22,11:25:00,194.1,194.5,192,194.45,499,0
2017-02-22,11:30:00,192.05,194.3,191.5,194,721,0
2017-02-22,11:35:00,193.25,193.25,193.25,193.25,20,0
2017-02-22,11:40:00,191.65,193.25,191,193,534,0
2017-02-22,11:45:00,193.95,194.2,193,194.2,116,0
2017-02-22,11:50:00,193,194,193,194,66,0
2017-02-22,11:55:00,193.95,194,193.95,194,30,0
2017-02-22,12:00:00,193,193.3,190.1,193.3,552,0
2017-02-22,12:05:00,192,193.3,192,193.3,25,0
2017-02-22,12:10:00,193.3,193.3,193,193,42,0
2017-02-22,12:15:00,193,193,193,193,54,0
2017-02-22,12:20:00,193,193.85,193,193.85,127,0
2017-02-22,12:25:00,193.9,194,193.9,194,115,0
2017-02-22,12:30:00,194,194,193,193,63,0
2017-02-22,12:35:00,193,193,193,193,8,0
2017-02-22,12:40:00,193.8,194,193.5,194,57,0
2017-02-22,12:45:00,193.5,193.5,193.5,193.5,20,0
2017-02-22,12:50:00,193,193,193,193,20,0
2017-02-22,12:55:00,193.95,194,192.2,192.2,49,0
2017-02-22,13:00:00,193.85,193.85,193.85,193.85,5,0
2017-02-22,13:05:00,193,193,193,193,15,0
2017-02-22,13:10:00,193.95,194,193.9,193.9,45,0
2017-02-22,13:15:00,193.5,193.5,193,193,100,0
2017-02-22,13:20:00,193.9,193.9,193.9,193.9,5,0
2017-02-22,13:25:00,193.9,194,193.9,194,14,0
2017-02-22,13:30:00,193.9,194,193.9,194,260,0
2017-02-22,13:45:00,193.95,193.95,193.95,193.95,55,0
2017-02-22,13:50:00,193.95,193.95,192.2,192.2,89,0
2017-02-22,13:55:00,192.9,192.9,192.9,192.9,6,0
2017-02-22,14:00:00,192.9,193,192.9,193,60,0
2017-02-22,14:05:00,193,193.9,193,193.9,86,0
2017-02-22,14:10:00,193.9,193.9,193,193,77,0
2017-02-22,14:15:00,193,193,193,193,470,0
2017-02-22,14:20:00,193,193,192.9,192.9,916,0
2017-02-22,14:30:00,193.9,193.9,193.9,193.9,40,0
2017-02-22,14:35:00,193.8,193.8,193.8,193.8,13,0
2017-02-22,14:40:00,193.55,193.55,193.55,193.55,3,0
2017-02-22,14:50:00,193.5,193.5,193,193,62,0
2017-02-22,14:55:00,193,193,193,193,1,0
2017-02-22,15:00:00,193,193.4,193,193.4,84,0
2017-02-22,15:05:00,193.4,193.45,193,193.45,74,0
2017-02-22,15:10:00,193.35,193.35,192.85,192.85,83,0
2017-02-22,15:15:00,192.85,193,191.05,193,465,0
2017-02-22,15:20:00,192.5,192.5,191.05,191.05,287,0
2017-02-22,15:25:00,192.95,192.95,192.95,192.95,8,0
2017-02-22,15:30:00,192.95,193,192.95,193,50,0
2017-02-22,15:35:00,192.95,192.95,192.8,192.95,44,0
2017-02-22,15:40:00,192.5,192.5,192.5,192.5,15,0
2017-02-22,15:45:00,192.5,192.5,192.25,192.25,291,0
2017-02-22,15:50:00,192.25,192.25,187.5,187.7,1969,0
2017-02-22,15:55:00,187.45,191,187.45,191,120,0
2017-02-22,16:00:00,190,191,187.5,187.5,146,0
2017-02-22,16:05:00,190.95,191,190.95,190.95,87,0
2017-02-22,16:10:00,190,190.7,189,190.7,98,0
2017-02-22,16:15:00,189.5,190.5,189.2,189.2,109,0
2017-02-22,16:20:00,190.5,190.5,190.5,190.5,20,0
2017-02-22,16:25:00,189.4,189.4,188,188,200,0
2017-02-22,16:30:00,189,189,189,189,30,0
2017-02-22,16:35:00,189,189.2,188.2,189,64,0
2017-02-22,16:40:00,189,189.85,189,189.85,15,0
2017-02-22,16:45:00,189.2,189.9,189,189.5,52,0
2017-02-22,16:50:00,189.05,190.5,187.5,187.5,1008,0
2017-02-23,09:05:00,190.05,190.5,190.05,190.1,399,0
2017-02-23,09:10:00,190.3,190.3,190.05,190.1,462,0
2017-02-23,09:15:00,190.05,190.55,190.05,190.55,258,0
2017-02-23,09:20:00,190.55,190.55,190.05,190.05,97,0
2017-02-23,09:25:00,190.15,190.9,190.15,190.9,64,0
2017-02-23,09:30:00,190.5,191,190.25,190.5,417,0
2017-02-23,09:35:00,191.2,191.85,191.2,191.85,140,0
2017-02-23,09:40:00,191.8,192.95,191.8,192.95,230,0
2017-02-23,09:45:00,192.95,192.95,192,192,107,0
2017-02-23,09:55:00,192,192.75,192,192,107,0
2017-02-23,10:00:00,192.8,192.9,192.5,192.5,162,0
2017-02-23,10:05:00,192.9,192.9,192.9,192.9,28,0
2017-02-23,10:10:00,192.2,192.2,192.2,192.2,1,0
2017-02-23,10:15:00,192.9,192.9,192.9,192.9,29,0
2017-02-23,10:20:00,192.75,192.8,192,192,147,0
2017-02-23,10:25:00,192,192,192,192,1,0
2017-02-23,10:30:00,192.05,192.8,192.05,192.8,8,0
2017-02-23,10:35:00,192.8,192.8,192.8,192.8,27,0
2017-02-23,10:40:00,192.8,192.8,192.3,192.3,64,0
2017-02-23,10:45:00,192.75,192.75,192.75,192.75,4,0
2017-02-23,10:55:00,192.75,192.75,192.05,192.05,43,0
2017-02-23,11:00:00,192.75,192.8,192,192,55,0
2017-02-23,11:05:00,192.7,192.7,191.5,192,73,0
2017-02-23,11:10:00,191.95,192,191.95,192,110,0
2017-02-23,11:15:00,191.05,191.95,191,191,181,0
2017-02-23,11:20:00,191,191,191,191,8,0
2017-02-23,11:25:00,190.7,191.95,190.7,191.95,145,0
2017-02-23,11:40:00,190.8,191.5,190.8,191.5,12,0
2017-02-23,11:45:00,191.5,191.5,191.5,191.5,10,0
2017-02-23,11:50:00,191.5,192,191.5,192,251,0
2017-02-23,11:55:00,192,192,192,192,2,0
2017-02-23,12:00:00,192,192,192,192,45,0
2017-02-23,12:05:00,192,192,192,192,10,0
2017-02-23,12:10:00,192,192.1,192,192.1,33,0
2017-02-23,12:15:00,192.1,192.5,191,191,216,0
2017-02-23,12:20:00,191.9,191.9,191.9,191.9,5,0
2017-02-23,12:25:00,191.9,191.9,191,191,97,0
2017-02-23,12:30:00,191.8,191.8,191,191,386,0
2017-02-23,12:35:00,191,192,190.75,192,62,0
2017-02-23,12:40:00,192,192,192,192,28,0
2017-02-23,12:45:00,192.7,192.7,191.9,191.9,49,0
2017-02-23,12:50:00,191.95,192,191.95,192,2514,0
2017-02-23,12:55:00,192,192,192,192,40,0
2017-02-23,13:20:00,192,192.7,192,192.7,93,0
2017-02-23,13:25:00,192.7,192.7,192.7,192.7,10,0
2017-02-23,13:30:00,192.75,192.8,192.75,192.8,26,0
2017-02-23,13:40:00,192.85,193,192.85,193,159,0
2017-02-23,13:45:00,193,193.2,191.8,191.8,205,0
2017-02-23,13:50:00,191.85,191.85,191.85,191.85,29,0
2017-02-23,14:15:00,192.05,192.05,191.95,191.95,88,0
2017-02-23,14:20:00,191.85,191.85,191.8,191.8,10,0
2017-02-23,14:25:00,191.95,192,191.95,192,162,0
2017-02-23,14:30:00,192.95,192.95,192.95,192.95,10,0
2017-02-23,14:40:00,192.95,193.9,192.95,193.9,496,0
2017-02-23,14:55:00,193.9,193.9,193.9,193.9,100,0
2017-02-23,15:10:00,193.5,194,193.5,194,720,0
2017-02-23,15:15:00,194,194,194,194,148,0
2017-02-23,15:20:00,194,194,194,194,50,0
2017-02-23,15:25:00,194,194,194,194,172,0
2017-02-23,15:30:00,194,194.35,194,194,179,0
2017-02-23,15:35:00,194.35,194.35,194,194,137,0
2017-02-23,15:40:00,194,194,194,194,4,0
2017-02-23,15:45:00,194.35,194.35,194.35,194.35,103,0
2017-02-23,15:50:00,193.75,193.75,193.75,193.75,32,0
2017-02-23,16:00:00,193.75,194,193.75,194,31,0
2017-02-23,16:05:00,194,194.25,194,194.25,145,0
2017-02-23,16:10:00,194.25,194.25,194,194,18,0
2017-02-23,16:15:00,194.25,194.25,194.25,194.25,44,0
2017-02-23,16:20:00,194.25,194.25,194,194,555,0
2017-02-23,16:25:00,193.8,193.8,193.75,193.75,30,0
2017-02-23,16:30:00,193.75,193.75,193.6,193.6,52,0
2017-02-23,16:35:00,194,194.25,193.6,194.25,173,0
2017-02-23,16:40:00,194,194,194,194,50,0
2017-02-23,16:45:00,194.3,194.3,194.3,194.3,91,0
2017-02-23,16:50:00,194.3,194.3,194,194,299,0
2017-02-24,09:05:00,195,195.8,195,195.8,302,0
2017-02-24,09:10:00,195.8,196,195.7,195.7,210,0
2017-02-24,09:15:00,195.9,196.2,195.7,196.2,675,0
2017-02-24,09:20:00,196.2,196.4,195.7,195.85,214,0
2017-02-24,09:25:00,195.7,195.7,194.1,194.1,385,0
2017-02-24,09:30:00,194.1,195,194.1,195,106,0
2017-02-24,09:35:00,195,195,194.9,194.9,34,0
2017-02-24,09:40:00,194.15,195,194.15,195,56,0
2017-02-24,09:45:00,195,195,195,195,88,0
2017-02-24,09:50:00,195,195.45,195,195.35,105,0
2017-02-24,10:00:00,195,195,194.1,194.15,252,0
2017-02-24,10:05:00,194.1,194.9,194.1,194.9,373,0
2017-02-24,10:10:00,194.6,194.65,194.1,194.1,80,0
2017-02-24,10:15:00,194.1,194.1,194.1,194.1,38,0
2017-02-24,10:20:00,194.2,194.25,194.2,194.2,46,0
2017-02-24,10:25:00,194.2,194.8,194.2,194.8,30,0
2017-02-24,10:30:00,194.2,194.2,194.2,194.2,26,0
2017-02-24,10:35:00,194.9,194.9,194.4,194.9,97,0
2017-02-24,10:40:00,194.9,194.9,194.9,194.9,913,0
2017-02-24,10:45:00,194.6,194.6,194.6,194.6,6,0
2017-02-24,10:55:00,194.4,194.6,194.2,194.6,479,0
2017-02-24,11:00:00,194.2,194.2,194.2,194.2,77,0
2017-02-24,11:05:00,194.2,194.2,194.2,194.2,31,0
2017-02-24,11:15:00,194.1,194.1,194.1,194.1,49,0
2017-02-24,11:20:00,194.1,194.1,194.1,194.1,457,0
2017-02-24,11:25:00,194,194,193.9,194,959,0
2017-02-24,11:30:00,193.75,193.75,193.75,193.75,30,0
2017-02-24,11:40:00,193.8,193.8,193.6,193.6,70,0
2017-02-24,11:45:00,193.7,193.7,193.7,193.7,5,0
2017-02-24,11:55:00,193.7,193.7,193.7,193.7,12,0
2017-02-24,12:00:00,193.6,193.6,193,193,129,0
2017-02-24,12:10:00,192.8,192.8,192.8,192.8,6,0
2017-02-24,12:15:00,193,193,191.6,193,180,0
2017-02-24,12:20:00,191.55,191.55,191,191,63,0
2017-02-24,12:25:00,191.15,192,191,192,382,0
2017-02-24,12:30:00,192.45,192.45,192.45,192.45,7,0
2017-02-24,12:35:00,192.3,192.3,186.9,187.55,1186,0
2017-02-24,12:40:00,190.95,190.95,187.1,187.1,160,0
2017-02-24,12:45:00,187.7,189,187.6,188.9,59,0
2017-02-24,12:50:00,188.9,190,187.25,190,262,0
2017-02-24,12:55:00,190.1,191,190,191,24,0
2017-02-24,13:00:00,191,191,190,190,276,0
2017-02-24,13:05:00,189.05,190,189,190,223,0
2017-02-24,13:10:00,190,190.5,189.9,190.5,134,0
2017-02-24,13:15:00,189.05,190,189.05,189.1,35,0
2017-02-24,13:20:00,189.15,189.9,189,189.5,90,0
2017-02-24,13:25:00,188.6,188.6,188.6,188.6,4,0
2017-02-24,13:35:00,188.4,188.4,188.4,188.4,4,0
2017-02-24,13:40:00,188.4,188.4,187.5,187.5,421,0
2017-02-24,13:45:00,188.5,188.5,187.35,187.35,71,0
2017-02-24,13:50:00,187.35,188.8,187.25,188.8,418,0
2017-02-24,13:55:00,188.8,188.8,188.65,188.7,45,0
2017-02-24,14:00:00,188.6,188.65,188.55,188.55,30,0
2017-02-24,14:05:00,188.55,188.55,188,188,15,0
2017-02-24,14:10:00,188.4,188.55,188.4,188.4,307,0
2017-02-24,14:15:00,188.4,188.4,188,188,134,0
2017-02-24,14:20:00,188,188,187.25,187.25,205,0
2017-02-24,14:25:00,187.25,187.95,187.2,187.95,273,0
2017-02-24,14:30:00,187.95,188,187.95,187.95,433,0
2017-02-24,14:35:00,187.9,187.9,187.85,187.85,82,0
2017-02-24,14:40:00,187.25,187.8,187.25,187.8,28,0
2017-02-24,14:45:00,187.8,187.85,187.3,187.3,301,0
2017-02-24,14:50:00,187.3,187.85,187.3,187.85,58,0
2017-02-24,14:55:00,187.85,187.85,187.85,187.85,47,0
2017-02-24,15:00:00,187.85,187.85,187.85,187.85,21,0
2017-02-24,15:05:00,187.85,187.9,187.85,187.9,57,0
2017-02-24,15:10:00,187.9,187.9,187.5,187.85,217,0
2017-02-24,15:15:00,187.95,188,187.95,188,113,0
